Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C17, C2, C3, C4",0603,7,0.1u,
"C10, C9",1210,2,4.7uf,
"C11, C6",0603,2,0.1uf,
"C12, C13",1210,2,47uf,
C14,C_Radial_D8.0mm_H7.0mm_P3.50mm,1,220uf,
C18,0603,1,0.47u,
C19,CP_Radial_D10.0mm_P5.00mm,1,470uf,
C5,0603,1,1uf,
C7,0603,1,4700pf,
C8,0603,1,47pF,
D1,D_SOD-128,1,RB088LAM-60,
"D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",0603,10,LED,
F1,1812,1,Fuse,
IC1,SOIC127P600X175-8N,1,MCP2562,
"J1, J4, J5, J7",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,4,Conn_01x04,
J10,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Conn_01x02,
J11,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,Conn_01x02,
"J2, J3, J8, J9",JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,4,Conn_01x03,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
L1,XAL6060103MEC,1,10uH,
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,
R1,0603,1,243k,
"R10, R11, R13, R14, R15, R16, R6, R7, R8, R9",0603,10,10k,
R12,0603,1,120,
"R17, R18, R19, R20, R21, R22, R23, R24, R25, R26",0603,10,1k,
R2,0603,1,16.9k,
R3,0603,1,90.9k,
R4,0603,1,442k,
R5,0603,1,140k,
SW1,switch_TVAF06-A020B-R,1,SW_Push,
U1,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,TPS54560BDDA,
U2,SOT-23-5_HandSoldering,1,NJM12888F33,
U5,LQFP-32_7x7mm_P0.8mm,1,STM32G431K8Tx,
U6,TO-252-2,1,NJM7805SDL1,
